Method,metric,mean,u,U_k2,ci95_lo,ci95_hi,boot_lo,boot_hi
Baseline RMAL,qos,0.5819983125,0.1410234233817804,0.2820468467635608,0.3621875,0.8795429687499998,0.5793653414062498,0.5847734765625
Baseline RMAL,R_tail,19.842820612497484,12.387953064654951,24.775906129309902,-1.4024107759250461,46.87556015380894,19.60424257916728,20.07766227688965
Baseline RMAL,P_fair,31.437049808756647,14.968514224605318,29.937028449210636,15.546425419817725,68.63733402460518,31.150144135344014,31.735473781212978
Baseline RMAL,F,-0.2118748127919721,0.23141258076381305,0.4628251615276261,-0.7472865855042617,0.18429744877835247,-0.21636172490304656,-0.2071409469040954
Baseline RMAL,jain,0.8234748391529307,0.0626631039515608,0.1253262079031216,0.6812852753745295,0.9067540966107023,0.822284209563201,0.824733481973662
Baseline RMAL,gini,0.24200228227458415,0.05638054506944267,0.11276109013888534,0.1600597946753049,0.3577465429000179,0.2409390934862061,0.24311023020588526
Baseline RMAL,entropy,0.8930552180018984,0.04317278689024038,0.08634557378048076,0.789282573855243,0.948923690296805,0.8922256251017624,0.8938956551946728
BPBO-RMAL,qos,0.8533361249999998,0.1579582966397527,0.3159165932795054,0.391875,0.9915625,0.8501693171874999,0.8564201507812501
BPBO-RMAL,R_tail,60.50158967493239,19.08992368156363,38.17984736312726,17.91536490927835,90.11715206983675,60.11524001287159,60.87194554443006
BPBO-RMAL,P_fair,24.45983650368062,9.385919627450455,18.77183925490091,8.148643682828725,40.98690646096021,24.277626167056628,24.642880662430404
BPBO-RMAL,F,1.4573926098750596,0.7272253204967697,1.4544506409935394,-0.2848132346200114,2.1938121657861127,1.4430957355862963,1.4709596214269576
BPBO-RMAL,jain,0.9322408446846144,0.08124888695291663,0.16249777390583325,0.7112705887204722,0.9937431658107513,0.9305491132081438,0.9337490316407289
BPBO-RMAL,gini,0.12761114999957043,0.07805697583686254,0.15611395167372508,0.04090663592803161,0.3400138746063711,0.12610092054773017,0.12908364579158074
BPBO-RMAL,entropy,0.9592909263227819,0.06070556937486842,0.12141113874973684,0.8028998434141874,0.9971314690573368,0.9580748852019007,0.9604883455012818
Q-learning+HHO,qos,0.47899150000000007,0.12785155832975495,0.2557031166595099,0.24953125,0.7325,0.476353984765625,0.48142297695312497
Q-learning+HHO,R_tail,9.935008622131788,12.740219208042879,25.480438416085757,-14.614482870170287,35.092977586657916,9.683027718027255,10.18824241763701
Q-learning+HHO,P_fair,14.944245393281099,6.635071858405327,13.270143716810654,5.542444873734353,32.17453024660249,14.811604572926699,15.07814852075345
Q-learning+HHO,F,-0.0232771090383103,0.39068045018954545,0.7813609003790909,-0.7990898408903727,0.7258199990885746,-0.03116714220708107,-0.015601131136569869
Q-learning+HHO,jain,0.9283116904622082,0.040435882375588886,0.08087176475117777,0.8343491003422361,0.9894920201940234,0.9275328809752313,0.929129150661693
Q-learning+HHO,gini,0.13933004446939048,0.04514769074417377,0.09029538148834754,0.05275450022394092,0.23042100764147203,0.13849194928397232,0.1402729596959889
Q-learning+HHO,entropy,0.9637230742247334,0.021912690534603933,0.043825381069207865,0.9113922366817334,0.9951407604313197,0.9633031746568618,0.9641289747136418
