sigma_est_db,qos_true,qos_believed_mean,qos_believed_u,misclass_mean,misclass_analytic
0.0,0.8862745098039215,0.8862745098039219,0.0,0.0,0.0
1.0,0.8862745098039215,0.7653691176470588,0.006630601090979547,0.20866290849673208,0.208668601086422
2.0,0.8862745098039215,0.6664143790849674,0.00824157492433069,0.3200117647058823,0.31993589781772114
3.0,0.8862745098039215,0.6172885620915032,0.00854303800466791,0.37343431372549013,0.373443351867239
5.0,0.8862745098039215,0.5727003267973855,0.008933072365136949,0.42184934640522886,0.4217901834897468
