Method,Tail_reward,Tail_reward_std,QoS_ratio,QoS_ratio_std,Fairness_penalty,Fairness_penalty_std,Fitness_F,Fitness_F_std,Jain,Jain_std,Gini,Gini_std,Entropy,Entropy_std
Baseline RMAL,13.082420106520171,6.623199755783811,0.5946540178571428,0.02234044669727106,5.709582661900386,2.1401915917681777,0.42415745351113554,0.23173019338086603,0.991794838999403,0.005204216290119376,0.04384131716529423,0.016554703512790883,0.9962837059468812,0.002353542606963568
BPBO-RMAL,48.77158316388432,13.451666509488746,0.7216517857142858,0.0628610446263904,7.490284273188729,4.835962048429252,1.5925388320708056,0.4332957416054168,0.9904534043120968,0.008706201135396876,0.04369732867134594,0.025942607334518496,0.9956424265925079,0.003970616735460938
Q-learning+HHO,15.381220894946875,3.9027055685467804,0.6145814732142857,0.02151431775337661,4.939891537079063,1.5651537945771108,0.5324187538932128,0.165192316654039,0.9944548902909931,0.003394925426100063,0.036555844111484125,0.011714630380898776,0.9974803612076697,0.0015389570419205587
